Id,Predicted
0,1306379.7557879915
1,1091167.2799446536
2,1255900.8006097476
3,1581455.4295570692
4,1416446.8687836484
5,1471936.3086692912
6,1506675.1970324616
7,1447641.3238835416
8,1684069.0745819188
9,1600580.3968140355
10,1401372.8271095194
11,1672836.7049855725
12,1612519.4161483708
13,1467129.7460489108
14,1506182.1294302284
15,1380314.2103098242
16,1464980.8328304025
17,1319050.5573453421
18,1403580.0547575606
19,1522133.4365764128
20,1513322.1131313816
21,1129801.845908907
22,1277419.8749961113
23,1380268.0465225629
24,1467326.192556319
25,1562493.296977516
26,1324820.6746265483
27,1547359.3317758704
28,1407844.354080558
29,1362419.2754300768
30,1277580.4738639642
31,1290931.8505184508
32,1473824.14705084
33,1448346.176265035
34,1150120.796204647
35,1473518.2453582934
36,1335800.5848728556
37,1298211.8224915334
38,1384559.0888495785
39,1554078.4277053494
40,1470798.0540940654
41,1368713.7425262425
42,1405981.216249491
43,1103385.784989883
44,1441966.0447737765
45,1265724.4613744456
46,1315767.8728049716
47,1515545.8307553253
48,1255680.4498325996
49,1567690.898634981
50,1532397.8369059605
51,1432453.562160012
52,1224219.142334059
53,1427782.526558049
54,1281117.552347683
55,1150848.456587996
56,1547065.0806601455
57,1613418.816233294
58,1357365.3672473328
59,1343117.2613002462
60,1309973.6795278676
61,1519639.0747468874
62,1690995.4467281979
63,1421303.2149672778
64,1310186.2483653126
65,1377124.8132584435
66,1451139.5835692699
67,1329292.2245042715
68,1355597.8456167034
69,1166234.988467501
70,1380547.0491583378
71,1453782.1494651893
72,1402271.4015738664
73,1470630.071750236
74,1281046.781768073
75,1325458.4263274372
76,1460916.2156504663
77,1436535.9878216472
78,1163867.087988984
79,1331060.0122433768
80,1275323.9057884386
81,1408549.775071286
82,1237317.2332697627
83,978865.321148655
84,1569714.1027858714
85,1248950.941774559
86,1231943.5938845095
87,1311482.4785761226
88,1512463.496498082
89,1210621.744138728
90,1345441.2701551083
91,1274206.8261565354
92,1666099.587465681
93,1366420.3204333638
94,1300248.3333631626
95,1218627.3975900146
96,1449425.2951832693
97,1238615.168815445
98,1413504.100901346
99,1473524.6266158763
100,1434421.3867501072
101,1291098.4811053255
102,1308444.3348324348
103,1286110.0485565064
104,1425954.3108225109
105,1166238.6558349081
106,1292246.654910763
107,1364563.7269042337
108,1374145.3584260622
109,1252548.148338814
110,1410097.8853019814
111,1118596.3969977947
112,1689181.1143015649
113,1630296.839518493
114,1335024.1592039214
115,1611667.4327513475
116,1373935.0402899182
117,1485269.624389634
118,1264359.9828636248
119,1299028.723848352
120,1176604.4163906537
121,1409403.126640656
122,1088600.4501376424
123,1360871.5601395855
124,1522651.0375739078
125,1611107.8545510632
126,1386009.8295147682
127,1329997.1077362134
128,1684466.3464683879
129,1064480.940086861
130,1394419.4110348867
131,1352453.6854584923
132,1217341.4853144388
133,1436661.582239585
134,1155055.5368025014
135,1388877.5564538224
136,1624569.2060566486
137,1405081.8106773817
138,1258648.396729868
139,1405967.0386281935
140,1254544.1538898416
141,1379148.8971881378
142,1347851.233258085
143,1308443.731849095
144,1310306.643530943
145,1191510.7930400982
146,1350559.685691838
147,1215856.8197507123
148,1398913.8395073386
149,1745538.6978006104
150,1310103.8069042664
151,1441740.3390044605
152,1341698.321544915
153,1100123.2317681771
154,1507949.035168163
155,1278250.3218273039
156,1451253.0300051395
157,1525716.8320198
158,1150739.2602475379
159,1518930.6113567296
160,1309313.6001497058
161,1130051.2781018734
162,1482340.5935134701
163,1453867.5296518116
164,1152773.1235766122
165,1412799.4420589139
166,1209049.4659748613
167,1114787.5780641714
168,1045644.6433530464
169,1406528.747048289
170,1234288.8780971593
171,1641399.5843049928
172,1526537.8162075311
173,1539826.804395623
174,1488558.477591807
175,1458113.848374848
176,1435773.450161043
177,1265901.778165182
178,1628348.7045845229
179,1550950.573234424
180,1554695.542983066
181,1624812.1065720234
182,1164925.6252113206
183,1403659.7931100654
184,1332609.5235171008
185,971617.9841838403
186,1368855.972647921
187,1290095.5551786467
188,1143571.166960638
189,1569271.8743286787
190,1322534.8085204754
191,1504361.9111833684
192,1243349.8072406715
193,1442269.1888920632
194,1282333.0040754222
195,1551339.8558921777
196,1196350.0660559165
197,1508924.923929747
198,1390721.242950872
199,1564210.6106583483
200,1702634.9094854626
201,1228865.966595451
202,1247066.1288615505
203,1240809.4669607033
204,1374102.729400113
205,1328546.38412298
206,1329747.9477258571
207,1676959.051473056
208,1533406.1605677675
209,1208003.531768003
210,1501038.480708405
211,1484723.0852716516
212,1296291.1077657896
213,1516988.2850326905
214,1435264.8862715769
215,1459420.83117953
216,1273532.489465936
217,1553518.337496485
218,1139610.1368361134
219,1357364.056314277
220,1500093.6020603222
221,1463517.6470959727
222,1137149.2216480116
223,1431994.038045733
224,1612083.542476004
225,1251002.3639390483
226,1340282.2230359835
227,1507789.6181960993
228,1286076.3395446944
229,1367598.546340773
230,1615695.2497154186
231,1520115.104551038
232,1160673.2387676283
233,1255994.4609479862
234,1099751.8823713395
235,1184109.1141509335
236,1633124.046659185
237,1244676.6562118947
238,1344557.0010857068
239,1077732.2152343122
240,1284420.6026190713
241,1780946.0654575299
242,1323174.9022907324
243,1465187.9459007245
244,1396093.2496154748
245,1534979.4473277885
246,1473594.6238981474
247,1502830.623912766
248,1314408.8105990293
249,1576003.024049295
250,1461541.202610734
251,1529155.8948246923
252,1354749.6243940422
253,1353117.4588838003
254,1404224.2135513383
255,1028347.162007836
256,1455731.6431420774
257,1450052.9647387
258,1539234.1356966055
259,1309899.1878838495
260,1308516.1054254272
261,1769034.1847386481
262,1237976.9658080733
263,1775985.010423828
264,1536193.2317419932
265,1187500.021573012
266,1456366.6928259837
267,1272866.6587075996
268,1537126.9331674015
269,1363573.0923513223
270,1478136.7224646152
271,1524745.3909608577
272,1256354.8212913882
273,1431553.9254743832
274,1492406.175519349
275,1640097.0718522223
276,1541833.4996473514
277,1375132.5015703153
278,1392200.651703651
279,1306569.1122892902
